socialClass; priority; socialStatus; stamina; hunger; leisure; extraversion; agreableness; conscientiouness; emotionalStability; opennesExp; actualState
HIGH; SELF; MARRIED; 1; 1; 0; 0,08330953; 0,91058147; 0,27936745; 0,66478837; Investigation
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,7963766; 0,41428465; 0,047085762; 0,29319823; Interact
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,20473367; 0,24947226; 0,5786103; 0,92240965; Investigation
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,17853755; 0,7109497; 0,022943437; 0,27420455; Aggressive
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,0753206; 0,5190218; 0,102647245; 0,28389603; Aggressive
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,09119576; 0,12579507; 0,5751652; 0,46651864; PatrolWalk
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,23003232; 0,4083721; 0,60047233; 0,9599727; Investigation
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,07400739; 0,56291825; 0,19505262; 0,095279455; Aggressive
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,05639839; 0,8319054; 0,7681356; 0,0001963973; PatrolWalk
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,9559791; 0,0028629303; 0,95443976; 0,8620988; Investigation
HIGH; SELF; MARRIED; 1; 1; 0; 0,37885487; 0,106772244; 0,052074373; 0,6359999; Investigation
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,8129888; 0,3839038; 0,42008692; 0,06594372; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,24134505; 0,20445448; 0,8046311; 0,081162095; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,72054964; 0,7490618; 0,98483896; 0,4980061; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,74880123; 0,7934753; 0,920612; 0,6312886; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,36092114; 0,16361725; 0,96583915; 0,12802273; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,84596324; 0,35791123; 0,13877219; 0,62441266; Aggressive
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,7306079; 0,22979486; 0,8373957; 0,45188755; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,7899383; 0,72484434; 0,04723072; 0,01688373; Aggressive
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,8630612; 0,13877589; 0,07481754; 0,101908445; Aggressive
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,5377902; 0,38449007; 0,40388525; 0,8877204; Idle
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,77701014; 0,94339657; 0,36218554; 0,022807896; Interact
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,11632186; 0,0008510351; 0,25133055; 0,95835584; Investigation
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,92065275; 0,6501802; 0,051995277; 0,83107483; Investigation
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,9837383; 0,35233766; 0,026910663; 0,52108395; Interact
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,85288066; 0,314712; 0,11759746; 0,81901; Investigation
HIGH; SELF; MARRIED; 0; 0; 1; 0,19883972; 0,1014024; 0,2312606; 0,58775324; Aggressive
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,20914727; 0,87484884; 0,09124321; 0,60865176; Investigation
HIGH; SELF; MARRIED; 0; 0; 1; 0,39031267; 0,024506032; 0,59966314; 0,80340505; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,8093979; 0,5155192; 0,9558055; 0,5140306; Idle
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,32201248; 0,18914688; 0,69296896; 0,3181963; PatrolWalk
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,024894297; 0,73221934; 0,69280064; 0,98843944; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,10682076; 0,51680726; 0,82254195; 0,6244606; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,6133472; 0,08166188; 0,5773792; 0,94571966; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,7817829; 0,98916984; 0,7433559; 0,03808278; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,9784818; 0,9191208; 0,26514685; 0,4714253; Aggressive
HIGH; SELF; MARRIED; 0; 0; 1; 0,5055716; 0,17822039; 0,49874288; 0,72124356; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,42591655; 0,23056144; 0,13618743; 0,5223479; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,5006042; 0,23276162; 0,7760894; 0,5614397; PatrolWalk
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,6892062; 0,19797081; 0,83562213; 0,048595846; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,6972591; 0,4454239; 0,8536507; 0,6803935; Idle
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,25080007; 0,03382069; 0,017101526; 0,4648915; Aggressive
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,511252; 0,4071365; 0,12682158; 0,025846362; Interact
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,48735577; 0,30275446; 0,28253752; 0,1787337; Aggressive
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,4234746; 0,5539278; 0,9875388; 0,16323721; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,04953444; 0,7252168; 0,73142105; 0,27833778; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,28325212; 0,49983704; 0,80984247; 0,8521818; PatrolWalk
HIGH; SELF; MARRIED; 0; 0; 1; 0,33935475; 0,544146; 0,43857795; 0,8363483; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,12978405; 0,15396196; 0,6809065; 0,6609058; Idle
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,27908182; 0,8459575; 0,0500921; 0,49653566; Aggressive
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,04047227; 0,2873088; 0,5818278; 0,95055467; Investigation
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,64171755; 0,28243905; 0,16775125; 0,14363539; Aggressive
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,7849653; 0,5894274; 0,81398284; 0,4282025; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,86004424; 0,95754; 0,4327293; 0,5955635; Idle
HIGH; SELF; MARRIED; 0,7000003; 0,7000003; 0,3; 0,9512298; 0,50585973; 0,8234935; 0,87734365; Investigation
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,5914769; 0,008488238; 0,8818472; 0,80499595; PatrolWalk
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,73088396; 0,7498368; 0,27711803; 0,12617588; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,058787823; 0,65169346; 0,2959866; 0,33688653; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,42577964; 0,9978327; 0,2009806; 0,34877884; Aggressive
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,3664288; 0,018296719; 0,88806385; 0,3706239; PatrolWalk
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,5918062; 0,9183503; 0,690896; 0,033818245; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,2155081; 0,79760325; 0,76679724; 0,034904003; Idle
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,52622056; 0,5080415; 0,106407106; 0,2675668; Interact
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,15786886; 0,3465774; 0,2498194; 0,27639878; Aggressive
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,13013637; 0,32990503; 0,99326485; 0,7344018; Investigation
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,76736546; 0,60734606; 0,39350206; 0,28487587; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,24067843; 0,1111626; 0,22647822; 0,60142916; Aggressive
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,10371709; 0,44785178; 0,6521499; 0,8372368; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,50617725; 0,22978455; 0,24497908; 0,8179952; Aggressive
HIGH; SELF; MARRIED; 0; 0; 1; 0,31736952; 0,4721564; 0,53225166; 0,55269325; Idle
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,48737872; 0,7971494; 0,34024864; 0,019572794; PatrolWalk
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,9619422; 0,24984604; 0,29911137; 0,21697241; Aggressive
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,6505626; 0,22317517; 0,44829416; 0,5674322; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,44400305; 0,6676242; 0,007999778; 0,9781155; Aggressive
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,58401686; 0,0309878; 0,023891449; 0,20659685; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,77296114; 0,6735972; 0,6116251; 0,8781629; PatrolWalk
HIGH; SELF; MARRIED; 0; 0; 1; 0,8129337; 0,973631; 0,38680583; 0,3258623; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,38110882; 0,9338844; 0,07049513; 0,62270933; Aggressive
HIGH; SELF; MARRIED; 0; 0; 1; 0,32747942; 0,3155263; 0,62164617; 0,16808957; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,68649113; 0,053586423; 0,25383258; 0,19225472; Aggressive
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,5974735; 0,08727658; 0,7653009; 0,7032317; Idle
HIGH; SELF; MARRIED; 1; 1; 0; 0,5047549; 0,8255279; 0,04690814; 0,3513192; Interact
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,9454995; 0,20202756; 0,6784577; 0,2181974; Idle
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,98900205; 0,2880013; 0,73278475; 0,37052172; Interact
HIGH; SELF; MARRIED; 0; 0; 1; 0,30374038; 0,014126122; 0,5830203; 0,7383425; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,9186792; 0,3908937; 0,58632505; 0,29235637; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,45828396; 0,50589097; 0,4534998; 0,38569385; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,9244497; 0,83887285; 0,27458525; 0,1485092; Aggressive
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,4752726; 0,66458666; 0,26490533; 0,70238584; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,19468516; 0,18048227; 0,4047764; 0,2771244; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,57943404; 0,5251016; 0,6194717; 0,78993034; Idle
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,16786575; 0,2862743; 0,946604; 0,8957822; Investigation
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,19467402; 0,97170293; 0,8533762; 0,015057504; Idle
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,82383233; 0,28316385; 0,6065385; 0,29874575; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,16518772; 0,8728316; 0,7405904; 0,6255411; PatrolWalk
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,18037581; 0,7192019; 0,50025845; 0,22607458; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,14390737; 0,71011895; 0,08812821; 0,9004119; Aggressive
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,105265975; 0,44647676; 0,15903324; 0,9876246; Aggressive
HIGH; SELF; MARRIED; 0; 0; 1; 0,03663826; 0,124546826; 0,5406933; 0,80722857; Idle
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,48123288; 0,8247086; 0,017548144; 0,35856402; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,50309; 0,6066451; 0,038379848; 0,1449154; Aggressive
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,36962306; 0,10631448; 0,11621255; 0,5066928; Aggressive
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,9458666; 0,48841202; 0,0666849; 0,9376533; Investigation
HIGH; SELF; MARRIED; 0,4000004; 0,4000004; 0,6000001; 0,8005207; 0,38423276; 0,34603196; 0,32495117; Interact
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,9041811; 0,8913827; 0,88377386; 0,57876426; Idle
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,7279223; 0,8153428; 0,2595942; 0,2633679; Interact
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,0686658; 0,8534152; 0,30515987; 0,925049; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,107118964; 0,011433005; 0,5122467; 0,47945273; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,016461015; 0,8103061; 0,07333928; 0,24779403; Aggressive
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,14355743; 0,24828988; 0,5526266; 0,6590573; PatrolWalk
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,11226922; 0,7999577; 0,0150639415; 0,909868; Aggressive
HIGH; SELF; MARRIED; 0; 0; 1; 0,6793933; 0,3200158; 0,38405097; 0,39907986; Idle
HIGH; SELF; MARRIED; 1; 1; 0; 0,6759653; 0,9239393; 0,076149344; 0,35603893; Interact
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,8068855; 0,81796426; 0,62894607; 0,9663899; PatrolWalk
HIGH; SELF; MARRIED; 0,10000028; 0,10000028; 0,8999998; 0,2523116; 0,63319254; 0,09792018; 0,20648414; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,81971854; 0,5064136; 0,4780422; 0,3612097; PatrolWalk
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,13153404; 0,56415415; 0,9332903; 0,32503033; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,29642606; 0,87079465; 0,5172301; 0,46448958; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,6325389; 0,35559744; 0,88366866; 0,12903011; PatrolWalk
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,8110589; 0,46982747; 0,8207035; 0,96344453; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,64921445; 0,8208368; 0,97326225; 0,47245562; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,9713276; 0,5822575; 0,21084827; 0,3930564; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,687329; 0,5197058; 0,48868436; 0,9319738; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,85134774; 0,70790577; 0,7640329; 0,43375963; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,40515155; 0,29388803; 0,14157903; 0,77218837; Aggressive
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,7027277; 0,49689627; 0,9554649; 0,6280471; Idle
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,069381; 0,60960656; 0,9451631; 0,83100575; Investigation
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,33082145; 0,05471456; 0,10797888; 0,41190165; Aggressive
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,5406677; 0,12598932; 0,56727976; 0,23573273; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,48636252; 0,24659073; 0,58717626; 0,60258913; PatrolWalk
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,15004915; 0,4536553; 0,7763734; 0,9933303; PatrolWalk
HIGH; SELF; MARRIED; 0; 0; 1; 0,26643467; 0,68542296; 0,70136195; 0,2847638; Idle
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,5028044; 0,8365082; 0,5539963; 0,29341477; Interact
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,4922036; 0,9643638; 0,66760117; 0,07591355; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,29133397; 0,12725896; 0,62281656; 0,8939248; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,9390621; 0,41621798; 0,03463769; 0,15637445; Aggressive
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,9686254; 0,8912169; 0,5036501; 0,8283011; PatrolWalk
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,7672753; 0,31725615; 0,20047581; 0,14894456; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,4191112; 0,09331632; 0,7958975; 0,36289215; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,5102294; 0,17723006; 0,7314915; 0,92148966; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,74723697; 0,6582655; 0,27059698; 0,8730042; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,37260383; 0,51992995; 0,53909343; 0,41861135; Idle
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,22210288; 0,62560886; 0,637377; 0,821691; PatrolWalk
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,9185863; 0,35492593; 0,9375132; 0,9822205; Investigation
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,87176305; 0,9613878; 0,9322372; 0,5886293; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,11702639; 0,07164252; 0,5401288; 0,46030354; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,010980308; 0,6060574; 0,31406558; 0,87429106; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,50264007; 0,34015912; 0,013701618; 0,071060896; Aggressive
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,94674903; 0,43303907; 0,06072682; 0,66328335; Investigation
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,1370644; 0,79099107; 0,0779717; 0,57976425; Aggressive
HIGH; SELF; MARRIED; 0; 0; 1; 0,3933267; 0,015581131; 0,6387094; 0,8858027; Idle
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,097011924; 0,52133334; 0,51162434; 0,8906897; Investigation
HIGH; SELF; MARRIED; 0; 0; 1; 0,676277; 0,020768642; 0,33256376; 0,7478514; Idle
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,6260765; 0,2681712; 0,817064; 0,8780656; PatrolWalk
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,3801756; 0,39736873; 0,5653537; 0,35878533; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,9564817; 0,48523277; 0,30770463; 0,64345986; PatrolWalk
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,96908706; 0,4190539; 0,36422503; 0,015892208; PatrolWalk
HIGH; SELF; MARRIED; 0; 0; 1; 0,64392513; 0,70295; 0,23037803; 0,48324507; Aggressive
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,95427394; 0,91635746; 0,7019954; 0,17815053; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,21213073; 0,74947864; 0,757313; 0,54331416; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,76442224; 0,8648093; 0,9186402; 0,55506825; PatrolWalk
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,72860384; 0,5647041; 0,08486962; 0,17324209; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,0022705793; 0,9377508; 0,88294953; 0,97457165; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,39843446; 0,77390754; 0,50623846; 0,9243128; Idle
HIGH; SELF; MARRIED; 0,8999998; 0,8999998; 0,10000028; 0,9952536; 0,20024836; 0,8151547; 0,115121305; Interact
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,8273883; 0,86237615; 0,90108114; 0,12264508; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,6729458; 0,5243378; 0,6764362; 0,6638296; Idle
HIGH; SELF; MARRIED; 0; 0; 1; 0,65382576; 0,91133446; 0,784779; 0,42201084; Idle
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,6714712; 0,04512173; 0,083290756; 0,7110857; Investigation
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,2668137; 0,13049984; 0,4837979; 0,4859836; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,9500226; 0,42615652; 0,097379506; 0,24885839; Aggressive
HIGH; SELF; MARRIED; 0; 0; 1; 0,84645414; 0,03098154; 0,6110804; 0,81522954; Idle
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,151393; 0,8866167; 0,91405874; 0,5203768; PatrolWalk
HIGH; SELF; MARRIED; 0; 0; 1; 0,34640914; 0,6096841; 0,05201119; 0,67734337; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,26536626; 0,886058; 0,04476863; 0,97456086; Aggressive
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,25260836; 0,69513804; 0,8832155; 0,9744152; Investigation
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,033548415; 0,6798393; 0,18929672; 0,68724215; Aggressive
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,53411114; 0,46901214; 0,8140267; 0,95293754; PatrolWalk
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,6124493; 0,61084616; 0,33009827; 0,039685488; PatrolWalk
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,9035906; 0,36486667; 0,33073813; 0,08920437; PatrolWalk
HIGH; SELF; MARRIED; 0,6000001; 0,6000001; 0,4000004; 0,37176245; 0,00050771236; 0,32789606; 0,2563094; PatrolWalk
HIGH; SELF; MARRIED; 0; 0; 1; 0,19067353; 0,6144782; 0,5655499; 0,8854583; Idle
HIGH; SELF; MARRIED; 0,30000004; 0,30000004; 0,7000003; 0,9966531; 0,6889265; 0,4055345; 0,7755294; PatrolWalk
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,98351336; 0,123354316; 0,5214777; 0,18800384; Idle
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,635808; 0,40223062; 0,43101168; 0,90314215; Idle
HIGH; SELF; MARRIED; 0,3; 0,3; 0,7000003; 0,8285156; 0,66066134; 0,7864165; 0,097489655; PatrolWalk
HIGH; SELF; MARRIED; 1,1175871E-08; 1,1175871E-08; 1; 0,99224645; 0,27320528; 0,7773613; 0,2371074; Idle
